x,y,id,ip,model
-122.41524956862746,37.793800137254905,node_0,192.168.160.22,../../models/model1.csv
-122.37742838095238,37.62686326190476,node_1,192.168.160.23,../../models/model2.csv
-121.900833,37.892778,node_2,192.168.160.24,../../models/model1.csv
-121.394167,37.635556,node_3,192.168.160.25,../../models/model2.csv
-122.39223475,37.7814362,node_4,192.168.160.26,../../models/model1.csv
-122.26780600000001,37.508944,node_5,192.168.160.27,../../models/model2.csv
-122.44901711111109,37.757288611111115,node_6,192.168.160.28,../../models/model2.csv
-122.40546299999998,37.74407411111111,node_7,192.168.160.29,../../models/model1.csv
-122.427396,37.641083125,node_8,192.168.160.30,../../models/model1.csv
-122.46809807692308,37.79456415384615,node_9,192.168.160.31,../../models/model2.csv
-122.377778,37.745556,node_10,192.168.160.32,../../models/model2.csv
-122.40027538461538,37.62484815384615,node_11,192.168.160.33,../../models/model1.csv
-122.365167,37.8100552,node_12,192.168.160.34,../../models/model2.csv
-122.39928930666666,37.79142236,node_13,192.168.160.35,../../models/model1.csv
-122.4215,37.622111,node_14,192.168.160.36,../../models/model1.csv
-122.42070009999999,37.6679725,node_15,192.168.160.37,../../models/model2.csv
-122.38562588235294,37.61657682352941,node_16,192.168.160.38,../../models/model2.csv
-122.39019042857143,37.75897614285714,node_17,192.168.160.39,../../models/model1.csv
-122.395,37.716111,node_18,192.168.160.40,../../models/model2.csv
-122.415944,37.603667,node_19,192.168.160.41,../../models/model2.csv
